step,D_act,excess_delay,t_0,eta_0,eta_1,eta_2,eta_3,eta_4,eta_5
0,0.289281,0.089281,0.2,1.0,1.0,1.0,1.0,1.0,1.0
1,0.275646,0.075646,0.2,1.0,1.0,1.0,1.0,1.0,1.0
2,0.286057,0.086057,0.2,1.0,1.0,1.0,1.0,1.0,1.0
3,0.272478,0.072478,0.2,1.0,1.0,1.0,1.0,1.0,1.0
4,0.285521,0.085521,0.2,1.0,1.0,1.0,1.0,1.0,1.0
5,0.269998,0.069998,0.2,1.0,1.0,1.0,1.0,1.0,1.0
6,0.291543,0.091543,0.2,1.0,1.0,1.0,1.0,1.0,1.0
7,0.27621,0.07621,0.2,1.0,1.0,1.0,1.0,1.0,1.0
8,0.279647,0.079647,0.2,1.0,1.0,1.0,1.0,1.0,1.0
9,0.286248,0.086248,0.2,1.0,1.0,1.0,1.0,1.0,1.0
10,0.278046,0.078046,0.2,1.0,1.0,1.0,1.0,1.0,1.0
11,0.283975,0.083975,0.2,1.0,1.0,1.0,1.0,1.0,1.0
12,0.279337,0.079337,0.2,1.0,1.0,1.0,1.0,1.0,1.0
13,0.276052,0.076052,0.2,1.0,1.0,1.0,1.0,1.0,1.0
14,0.275044,0.075044,0.2,1.0,1.0,1.0,1.0,1.0,1.0
15,0.284507,0.084507,0.2,1.0,1.0,1.0,1.0,1.0,1.0
16,0.286609,0.086609,0.2,1.0,1.0,1.0,1.0,1.0,1.0
17,0.2766,0.0766,0.2,1.0,1.0,1.0,1.0,1.0,1.0
18,0.27436,0.07436,0.2,1.0,1.0,1.0,1.0,1.0,1.0
19,0.270294,0.070294,0.2,1.0,1.0,1.0,1.0,1.0,1.0
20,0.280587,0.080587,0.2,1.0,1.0,1.0,1.0,1.0,1.0
21,0.280722,0.080722,0.2,1.0,1.0,1.0,1.0,1.0,1.0
22,0.281632,0.081632,0.2,1.0,1.0,1.0,1.0,1.0,1.0
23,0.286835,0.086835,0.2,1.0,1.0,1.0,1.0,1.0,1.0
24,0.276742,0.076742,0.2,1.0,1.0,1.0,1.0,1.0,1.0
25,0.27678,0.07678,0.2,1.0,1.0,1.0,1.0,1.0,1.0
26,0.286983,0.086983,0.2,1.0,1.0,1.0,1.0,1.0,1.0
27,0.275133,0.075133,0.2,1.0,1.0,1.0,1.0,1.0,1.0
28,0.286408,0.086408,0.2,1.0,1.0,1.0,1.0,1.0,1.0
29,0.290473,0.090473,0.2,1.0,1.0,1.0,1.0,1.0,1.0
